# Inventaire des séries mensuelles homogénéisées fournies pour : RR
# RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
nom_fichier;num_poste;nom_usuel;latitude(°);longitude(°);altitude(m);num_serie; date_debut_serie(YYYYMM);date_fin_serie(YYYYMM);etat_poste
SH_MRR101034004.csv;1034004;BELLEY;45.769;5.688;330;MRR101034004;195101;201612;ouvert
SH_MRR101072001.csv;1072001;CEYZERIAT_SAPC;46.204;5.288;260;MRR101072001;195001;202112;ouvert
SH_MRR101089001.csv;1089001;AMBERIEU;45.977;5.329;250;MRR101089001;195001;202112;ouvert
SH_MRR001105001.csv;1105001;CIVRIEUX;45.912;4.891;291;MRR001105001;195001;202012;fermé au 2020-12-31
SH_MRR101143002.csv;1143002;DIVONNE ZA;46.342;6.14;467;MRR101143002;195101;201812;ouvert
SH_MRR001235001.csv;1235001;MARLIEUX;46.039;5.044;280;MRR001235001;195901;202112;ouvert
SH_MRR001247003.csv;1247003;MIJOUX;46.379;6.019;1002;MRR001247003;195101;201812;ouvert
SH_MRR001269001.csv;1269001;NANTUA;46.148;5.607;483;MRR001269001;196001;202112;ouvert
SH_MRR101367002.csv;1367002;SAINT JULIEN SUR REYSSOUZE;46.403;5.11;189;MRR101367002;195001;202112;ouvert
SH_MRR001391001.csv;1391001;SALAVRE;46.364;5.347;240;MRR001391001;195701;202012;fermé au 2020-12-31
SH_MRR102058001.csv;2058001;BEAURIEUX;49.39;3.733;56;MRR102058001;195901;201712;ouvert
SH_MRR002086001.csv;2086001;BICHANCOURT;49.579;3.211;59;MRR002086001;195501;201712;fermé au 2022-12-31
SH_MRR002301002.csv;2301002;FAUCOUCOURT;49.527;3.462;100;MRR002301002;195501;201712;fermé au 2021-01-01
SH_MRR102320001.csv;2320001;ST QUENTIN;49.818;3.206;98;MRR102320001;195501;201712;ouvert
SH_MRR102346001.csv;2346001;GIZY;49.6;3.781;75;MRR102346001;195501;201712;ouvert
SH_MRR102433001.csv;2433001;LISLET;49.686;4.024;114;MRR102433001;195501;201712;fermé au 2019-11-01
SH_MRR002471001.csv;2471001;MARTIGNY-COURPI;49.486;3.693;95;MRR002471001;195601;201712;ouvert
SH_MRR102585001.csv;2585001;PARCY-ET-TIGNY;49.28;3.331;148;MRR102585001;195501;201712;ouvert
SH_MRR002614001.csv;2614001;PONTRU;49.908;3.203;80;MRR002614001;195901;201712;fermé au 2022-12-31
SH_MRR002738001.csv;2738001;TERGNIER;49.664;3.321;59;MRR002738001;195701;201712;ouvert
SH_MRR003003001.csv;3003001;AINAY-LE-CHATE;46.706;2.696;220;MRR003003001;195101;201612;fermé au 2021-12-31
SH_MRR003059001.csv;3059001;CHAREIL-CINTRAT_SAPC;46.276;3.226;286;MRR003059001;195101;201612;ouvert
SH_MRR103060001.csv;3060001;VICHY-CHARMEIL;46.167;3.399;249;MRR103060001;195101;201612;ouvert
