# Inventaire des séries mensuelles homogénéisées fournies pour : TN
# TN : Moyenne mensuelle de la température minimale sous abri (en °C et 1/10) 
nom_fichier;num_poste;nom_usuel;latitude(°);longitude(°);altitude(m);num_serie; date_debut_serie(YYYYMM);date_fin_serie(YYYYMM);etat_poste
SH_MTN201089001.csv;1089001;AMBERIEU;45.977;5.329;250;MTN201089001;195101;202212;ouvert
SH_MTN002037002.csv;2037002;AULNOIS-SS-LAON;49.596;3.61;78;MTN002037002;196401;202212;ouvert
SH_MTN202320001.csv;2320001;ST QUENTIN;49.818;3.206;98;MTN202320001;195901;202212;ouvert
SH_MTN102705001.csv;2705001;NIZY-LE-COMTE;49.566;4.037;90;MTN102705001;195901;202212;ouvert
SH_MTN203059001.csv;3059001;CHAREIL-CINTRAT_SAPC;46.276;3.226;286;MTN203059001;195101;202212;ouvert
SH_MTN303060001.csv;3060001;VICHY-CHARMEIL;46.167;3.399;249;MTN303060001;195101;202212;ouvert
SH_MTN003180001.csv;3180001;MONTBEUGNY;46.536;3.423;275;MTN003180001;195901;202212;ouvert
SH_MTN203204001.csv;3204001;PARAY-SOUS-BRIAILLES;46.284;3.338;250;MTN203204001;195101;202212;ouvert
SH_MTN204049001.csv;4049001;ST AUBAN;44.062;5.99;458;MTN204049001;195901;202312;ouvert
SH_MTN205007001.csv;5007001;ARVIEUX LA CHALP;44.781;6.737;1690;MTN205007001;195101;202312;ouvert
SH_MTN205046001.csv;5046001;EMBRUN;44.571;6.509;873;MTN205046001;195101;202312;ouvert
SH_MTN205098001.csv;5098001;LES ORRES;44.509;6.559;1457;MTN205098001;195901;202312;ouvert
SH_MTN205157001.csv;5157001;ST VERAN;44.7;6.869;2035;MTN205157001;195101;202312;ouvert
SH_MTN205183001.csv;5183001;VILLAR ST PANCRACE;44.88;6.64;1310;MTN205183001;195901;202312;ouvert
SH_MTN206029001.csv;6029001;CANNES;43.557;6.951;2;MTN206029001;195901;202312;ouvert
SH_MTN206088001.csv;6088001;NICE;43.649;7.209;2;MTN206088001;195901;202312;ouvert
SH_MTN106163007.csv;6163007;TENDE_SAPC;44.043;7.586;636;MTN106163007;195101;202312;ouvert
SH_MTN207010001.csv;7010001;ANNONAY;45.246;4.671;336;MTN207010001;195901;202312;ouvert
SH_MTN207019005.csv;7019005;AUBENAS SA;44.602;4.41;176;MTN207019005;195901;202312;ouvert
SH_MTN207064001.csv;7064001;CHEYLARD SA;44.915;4.438;418;MTN207064001;195901;202312;ouvert
SH_MTN207105001.csv;7105001;ISSANLAS;44.773;3.982;1215;MTN207105001;195501;202312;ouvert
SH_MTN207128001.csv;7128001;LALOUVESC;45.118;4.535;1090;MTN207128001;195701;202312;ouvert
SH_MTN207144001.csv;7144001;LOUBARESSE;44.6;4.049;1220;MTN207144001;195601;202312;ouvert
SH_MTN207265001.csv;7265001;ST-MARCEL ANNONAY;45.296;4.642;494;MTN207265001;195901;202312;ouvert
SH_MTN108089003.csv;8089003;BUZANCY_SAPC;49.427;4.965;199;MTN108089003;195901;202212;ouvert
SH_MTN208239001.csv;8239001;JUNIVILLE;49.397;4.372;90;MTN208239001;195901;202212;ouvert
SH_MTN108255001.csv;8255001;LINAY;49.617;5.217;177;MTN108255001;195901;202212;ouvert
SH_MTN108367002.csv;8367002;ROCROI;49.919;4.53;382;MTN108367002;195901;202212;ouvert
SH_MTN209023002.csv;9023002;ASCOU LAVAIL;42.724;1.895;1100;MTN209023002;195901;202212;ouvert
SH_MTN209289001.csv;9289001;ST GIRONS;43.005;1.107;414;MTN209289001;195501;202212;ouvert
SH_MTN210057001.csv;10057001;BOUY-SUR-ORVIN;48.44;3.505;102;MTN210057001;195901;202212;ouvert
SH_MTN010238001.csv;10238001;MESNIL-ST-PERE;48.245;4.322;142;MTN010238001;196301;202212;ouvert
SH_MTN110323001.csv;10323001;ROMILLY;48.503;3.75;77;MTN110323001;195901;202212;ouvert
SH_MTN211012001.csv;11012001;ARGELIERS;43.308;2.912;31;MTN211012001;195101;202312;ouvert
SH_MTN311069001.csv;11069001;CARCASSONNE;43.215;2.296;128;MTN311069001;195101;202312;ouvert
SH_MTN211076001.csv;11076001;CASTELNAUDARY;43.305;1.949;160;MTN211076001;195901;202212;ouvert
