# Inventaire des séries mensuelles homogénéisées fournies pour : TX
# TX : Moyenne mensuelle de la température maximale sous abri (en °C et 1/10) 
nom_fichier;num_poste;nom_usuel;latitude(°);longitude(°);altitude(m);num_serie; date_debut_serie(YYYYMM);date_fin_serie(YYYYMM);etat_poste
SH_MTX201089001.csv;1089001;AMBERIEU;45.977;5.329;250;MTX201089001;195101;202212;ouvert
SH_MTX002037002.csv;2037002;AULNOIS-SS-LAON;49.596;3.61;78;MTX002037002;196101;202212;ouvert
SH_MTX202320001.csv;2320001;ST QUENTIN;49.818;3.206;98;MTX202320001;195901;202212;ouvert
SH_MTX103059001.csv;3059001;CHAREIL-CINTRAT_SAPC;46.276;3.226;286;MTX103059001;195101;202212;ouvert
SH_MTX303060001.csv;3060001;VICHY-CHARMEIL;46.167;3.399;249;MTX303060001;195101;202212;ouvert
SH_MTX003180001.csv;3180001;MONTBEUGNY;46.536;3.423;275;MTX003180001;195901;202212;ouvert
SH_MTX203204001.csv;3204001;PARAY-SOUS-BRIAILLES;46.284;3.338;250;MTX203204001;195101;202212;ouvert
SH_MTX104019001.csv;4019001;BARCELONNETTE;44.391;6.67;1155;MTX104019001;195901;202312;ouvert
SH_MTX204049001.csv;4049001;ST AUBAN;44.062;5.99;458;MTX204049001;195901;202312;ouvert
SH_MTX205046001.csv;5046001;EMBRUN;44.571;6.509;873;MTX205046001;195101;202312;ouvert
SH_MTX205064001.csv;5064001;CHAPELLE-EN-VALGAUDEMAR;44.81;6.195;1270;MTX205064001;195101;202312;ouvert
SH_MTX205079001.csv;5079001;LE MONETIER LES BAINS;44.972;6.514;1459;MTX205079001;195101;202312;ouvert
SH_MTX205098001.csv;5098001;LES ORRES;44.509;6.559;1457;MTX205098001;195901;202312;ouvert
SH_MTX205142001.csv;5142001;ST FIRMIN;44.783;6.035;935;MTX205142001;195101;202312;ouvert
SH_MTX205157001.csv;5157001;ST VERAN;44.7;6.869;2035;MTX205157001;195101;202312;ouvert
SH_MTX205183001.csv;5183001;VILLAR ST PANCRACE;44.88;6.64;1310;MTX205183001;195901;202312;ouvert
SH_MTX206004009.csv;6004009;ANTIBES_SAPC;43.599;7.111;32;MTX206004009;195901;202312;ouvert
SH_MTX206029001.csv;6029001;CANNES;43.557;6.951;2;MTX206029001;195901;202312;ouvert
